,date,open,high,low,close,volume,average,barCount
2190,2022-08-31 12:32:30,3988.25,3988.5,3987.5,3988.0,202.0,3988.05,79
2191,2022-08-31 12:32:35,3988.0,3988.5,3987.75,3988.0,239.0,3988.1,82
2192,2022-08-31 12:32:40,3987.75,3987.75,3987.0,3987.0,177.0,3987.275,47
2193,2022-08-31 12:32:45,3987.0,3987.0,3986.25,3986.25,256.0,3986.475,56
2194,2022-08-31 12:32:50,3986.5,3986.75,3986.25,3986.5,48.0,3986.5,19
2195,2022-08-31 12:32:55,3986.5,3987.25,3986.5,3987.0,79.0,3986.925,22
2196,2022-08-31 12:33:00,3987.0,3987.25,3986.5,3986.75,317.0,3986.725,67
2197,2022-08-31 12:33:05,3986.75,3987.25,3986.75,3987.0,151.0,3986.85,60
2198,2022-08-31 12:33:10,3987.0,3987.75,3986.75,3986.75,111.0,3987.525,32
2199,2022-08-31 12:33:15,3987.0,3987.25,3987.0,3987.25,42.0,3987.1,14
2200,2022-08-31 12:33:20,3987.0,3987.25,3986.75,3987.0,164.0,3987.05,39
2201,2022-08-31 12:33:25,3987.25,3988.0,3987.0,3987.25,100.0,3987.45,30
2202,2022-08-31 12:33:30,3987.5,3988.0,3987.25,3987.75,80.0,3987.675,24
2203,2022-08-31 12:33:35,3987.5,3987.75,3987.25,3987.75,55.0,3987.6,19
2204,2022-08-31 12:33:40,3987.75,3988.5,3987.75,3988.25,203.0,3988.075,46
2205,2022-08-31 12:33:45,3988.25,3988.5,3988.0,3988.25,100.0,3988.175,40
2206,2022-08-31 12:33:50,3988.25,3988.5,3988.0,3988.0,102.0,3988.25,37
2207,2022-08-31 12:33:55,3988.0,3988.25,3987.75,3988.25,130.0,3987.975,48
2208,2022-08-31 12:34:00,3988.25,3988.75,3988.0,3988.5,134.0,3988.425,65
2209,2022-08-31 12:34:05,3988.5,3988.75,3988.0,3988.0,108.0,3988.475,42
2210,2022-08-31 12:34:10,3988.25,3988.25,3988.0,3988.0,97.0,3988.075,38
2211,2022-08-31 12:34:15,3988.25,3988.25,3987.75,3988.0,91.0,3987.925,25
2212,2022-08-31 12:34:20,3988.0,3988.0,3987.5,3987.75,54.0,3987.725,26
2213,2022-08-31 12:34:25,3987.75,3987.75,3986.75,3986.75,115.0,3987.025,27
2214,2022-08-31 12:34:30,3986.75,3987.0,3986.25,3986.75,206.0,3986.775,57
2215,2022-08-31 12:34:35,3987.0,3987.75,3986.75,3987.75,51.0,3987.325,23
2216,2022-08-31 12:34:40,3987.75,3987.75,3987.25,3987.25,55.0,3987.55,25
2217,2022-08-31 12:34:45,3987.5,3987.5,3987.0,3987.0,59.0,3987.275,29
2218,2022-08-31 12:34:50,3987.0,3987.5,3987.0,3987.25,55.0,3987.175,21
2219,2022-08-31 12:34:55,3987.0,3987.25,3986.75,3987.0,76.0,3986.875,25
2220,2022-08-31 12:35:00,3987.25,3987.25,3987.0,3987.25,120.0,3987.125,39
2221,2022-08-31 12:35:05,3987.25,3987.25,3987.0,3987.25,33.0,3987.1,11
2222,2022-08-31 12:35:10,3987.25,3987.5,3986.75,3987.0,90.0,3987.1,31
2223,2022-08-31 12:35:15,3987.0,3987.5,3987.0,3987.5,62.0,3987.375,19
2224,2022-08-31 12:35:20,3987.5,3987.5,3987.25,3987.25,91.0,3987.3,30
